Area Name,Area ID,Normalised Name,Region Name,Region ID,Location Type,Online,Status
Pawarenga,AREA-LINZ-2789,pawarenga,Northland Region,01,Rural locality,false,Canonical
Peria,AREA-LINZ-1241,peria,Northland Region,01,Rural locality,false,Canonical
Pipiwai,AREA-LINZ-1259,pipiwai,Northland Region,01,Rural locality,false,Canonical
Poroti,AREA-LINZ-1282,poroti,Northland Region,01,Rural locality,false,Canonical
Port Whangārei,AREA-LINZ-2845,port whangarei,Northland Region,01,Suburb,false,Canonical
Portland,AREA-LINZ-2847,portland,Northland Region,01,Suburb,false,Canonical
Pouto,AREA-LINZ-2770,pouto,Northland Region,01,Rural locality,false,Canonical
Pukehuia,AREA-LINZ-1304,pukehuia,Northland Region,01,Rural locality,false,Canonical
Pukenui,AREA-LINZ-2798,pukenui,Northland Region,01,Rural locality,false,Canonical
Pukenui Forest,AREA-LINZ-1313,pukenui forest,Northland Region,01,Suburb,false,Canonical
Pukewharariki,AREA-LINZ-1329,pukewharariki,Northland Region,01,Rural locality,false,Canonical
Punakitere Valley,AREA-LINZ-2414,punakitere valley,Northland Region,01,Rural locality,false,Canonical
Punaruku,AREA-LINZ-2817,punaruku,Northland Region,01,Rural locality,false,Canonical
Purua,AREA-LINZ-1338,purua,Northland Region,01,Rural locality,false,Canonical
Puwera,AREA-LINZ-1341,puwera,Northland Region,01,Suburb,false,Canonical
Raumanga,AREA-LINZ-2843,raumanga,Northland Region,01,Suburb,false,Canonical
Rawene,AREA-LINZ-2782,rawene,Northland Region,01,Rural locality,false,Canonical
Rawhiti,AREA-LINZ-2818,rawhiti,Northland Region,01,Rural locality,false,Canonical
Regent,AREA-LINZ-1388,regent,Northland Region,01,Suburb,false,Canonical
Riponui,AREA-LINZ-1404,riponui,Northland Region,01,Rural locality,false,Canonical
Riverside,AREA-LINZ-1413,riverside,Northland Region,01,Suburb,false,Canonical
Ruakākā,AREA-LINZ-2857,ruakaka,Northland Region,01,Suburb,false,Canonical
Ruatangata West,AREA-LINZ-8833,ruatangata west,Northland Region,01,Rural locality,false,Canonical
Ruawai,AREA-LINZ-6540,ruawai,Northland Region,01,Suburb,false,Canonical
Russell,AREA-LINZ-2824,russell,Northland Region,01,Suburb,false,Canonical
Springfield,AREA-LINZ-2849,springfield,Northland Region,01,Suburb,false,Canonical
Taheke,AREA-LINZ-1559,taheke,Northland Region,01,Rural locality,false,Canonical
Taiharuru,AREA-LINZ-2836,taiharuru,Northland Region,01,Rural locality,false,Canonical
Taipa,AREA-LINZ-2806,taipa,Northland Region,01,Suburb,false,Canonical
Taipuha,AREA-LINZ-1569,taipuha,Northland Region,01,Rural locality,false,Canonical
Takahiwai,AREA-LINZ-2851,takahiwai,Northland Region,01,Suburb,false,Canonical
Takahue,AREA-LINZ-1572,takahue,Northland Region,01,Rural locality,false,Canonical
Tamaterau,AREA-LINZ-2835,tamaterau,Northland Region,01,Rural locality,false,Canonical
Tangiteroria,AREA-LINZ-1584,tangiteroria,Northland Region,01,Rural locality,false,Canonical
Tangowahine,AREA-LINZ-1585,tangowahine,Northland Region,01,Rural locality,false,Canonical
Taupō Bay,AREA-LINZ-2808,taupo bay,Northland Region,01,Rural locality,false,Canonical
Tautoro,AREA-LINZ-2273,tautoro,Northland Region,01,Rural locality,false,Canonical
Te Hāpua,AREA-LINZ-2795,te hapua,Northland Region,01,Rural locality,false,Canonical
Te Kamo,AREA-LINZ-2025,te kamo,Northland Region,01,Suburb,false,Canonical
Te Kao,AREA-LINZ-2796,te kao,Northland Region,01,Rural locality,false,Canonical
Te Kōpuru,AREA-LINZ-2769,te kopuru,Northland Region,01,Rural locality,false,Canonical
Te Ti Mangonui,AREA-LINZ-4111,te ti mangonui,Northland Region,01,Rural locality,false,Canonical
Tikipunga,AREA-LINZ-1679,tikipunga,Northland Region,01,Suburb,false,Canonical
Tinopai,AREA-LINZ-2767,tinopai,Northland Region,01,Rural locality,false,Canonical
Titoki,AREA-LINZ-1703,titoki,Northland Region,01,Rural locality,false,Canonical
Topuni,AREA-LINZ-2760,topuni,Northland Region,01,Rural locality,false,Canonical
Totara North,AREA-LINZ-2811,totara north,Northland Region,01,Rural locality,false,Canonical
Towai,AREA-LINZ-1724,towai,Northland Region,01,Rural locality,false,Canonical
Turiwiri,AREA-LINZ-1736,turiwiri,Northland Region,01,Rural locality,false,Canonical
Tutukaka,AREA-LINZ-2831,tutukaka,Northland Region,01,Rural locality,false,Canonical
Umawera,AREA-LINZ-2785,umawera,Northland Region,01,Rural locality,false,Canonical
Waiharara,AREA-LINZ-2800,waiharara,Northland Region,01,Rural locality,false,Canonical
Waikare,AREA-LINZ-2825,waikare,Northland Region,01,Rural locality,false,Canonical
Waimā,AREA-LINZ-1800,waima,Northland Region,01,Rural locality,false,Canonical
Waimamaku,AREA-LINZ-2779,waimamaku,Northland Region,01,Rural locality,false,Canonical
Waimate North,AREA-LINZ-1808,waimate north,Northland Region,01,Rural locality,false,Canonical
Waiomio,AREA-LINZ-8665,waiomio,Northland Region,01,Suburb,false,Canonical
Waiotira,AREA-LINZ-1825,waiotira,Northland Region,01,Rural locality,false,Canonical
Waipapa,AREA-LINZ-2262,waipapa,Northland Region,01,Rural locality,false,Canonical
Waipapakauri,AREA-LINZ-2794,waipapakauri,Northland Region,01,Rural locality,false,Canonical
